date,Google,Ebay,Facebook,Yahoo,WU,Verisign,TSS,FNI,ADP,amer,arm
2015/5/4,-0.01223984,-0.120265664,-0.096179674,0.58707885,0.486038183,-0.069494646,0.473937657,0.471220323,0.198903081,0.029242942,0.049242942
2015/5/11,-0.120559488,0.118542536,0.346809225,0.193076618,-0.142847077,0.019350061,0.075689108,-0.138790067,0.044342621,0.021504379,0.041504379
2015/5/18,0.14364022,0.049997822,-0.000426727,-0.330152582,0.627520516,0.070820327,0.011859814,-0.036015135,-0.151923727,0.000587106,0.020587106
2015/5/26,-0.196336861,0.402173103,-0.217281261,-0.172491955,-0.31976968,-0.257215024,-0.110006327,-0.309454176,-0.199340885,-0.128334975,-0.108334975
2015/6/1,0.010220162,0.457377099,0.588779073,-0.05864962,-0.126866325,-0.125571504,0.058431735,-0.118850589,-0.194229944,-0.106185637,-0.086185637
2015/6/8,-0.04410281,-0.512020095,-0.112355729,-0.529083516,-0.098647666,0.044070677,0.031373168,0.293196973,-0.006495585,-0.012019618,0.007980382
2015/6/15,0.091867764,0.259830406,0.148043688,-0.026396357,-0.118182957,0.268639454,0.274040194,0.129118739,0.070388722,0.08319293,0.10319293
2015/6/22,-0.124568727,-0.037278451,1.303825647,-0.145164434,-0.358253066,-0.233987752,0.116623239,-0.119889444,-0.166778616,-0.061122606,-0.051122606
2015/6/29,-0.204773712,0.166936618,-0.12128482,-0.219535695,-0.675006427,-0.03639607,-0.230578464,-0.206801702,-0.344880206,-0.162525422,-0.142525422
2015/7/6,0.160680577,0.094983587,0.082877556,-0.408067414,0.007731527,0.048227208,0.107835378,0.261132855,0.096838846,-0.021000538,-0.001000538
2015/7/13,21.19454895,1.188714825,1.693675905,0.783614212,0.102565079,0.429378299,0.614079295,0.091717594,0.127981195,0.342635477,0.362635477
2015/7/20,-0.66862839,0.125254453,0.267668456,-0.280283803,-0.354655552,0.660371997,0.205916857,-0.297323479,-0.381958104,-0.292086182,-0.252086182
2015/7/27,-0.006408527,-0.099487364,-0.379897241,-0.577982053,1.846755963,0.77570801,0.485556695,0.712085043,-0.051628909,0.11223099,0.16223099
2015/8/3,0.141173247,0.138091616,-0.03914704,-0.08,0.027784968,-0.087305393,0.145952349,-0.203482285,0.008139776,-0.230705336,-0.150705336
2015/8/10,0.431157354,-0.244293085,-0.103330858,-0.262162063,-0.151398128,-0.08459764,0.264574342,1.765020548,0.417220321,-0.028970376,0.091029624
2015/8/17,-0.699305114,-0.798526324,-0.800369869,-0.812097305,-0.757494983,-0.558861863,-0.595775679,-0.26217799,-0.552693386,-0.638097108,-0.538097108
2015/8/24,0.394242771,1.006698586,1.008908586,0.026150188,-0.177917961,0.330095,0.155238918,0.135781097,-0.186499365,0.065309762,0.125309762
2015/8/31,-0.545782951,-0.391079414,-0.408922747,-0.54571221,-0.276651838,-0.4489654,-0.424122677,-0.536482814,-0.396277107,-0.442296128,-0.362296128
2015/9/8,0.641541144,-0.135764268,0.667342115,-0.120018475,-0.016407432,0.412987178,0.598038051,0.567481966,0.500998526,0.245721652,0.305721652
2015/9/14,0.004756629,-0.208454345,0.317798954,-0.32066975,0.280961651,0.089110866,-0.137619496,-0.269939076,0.05264653,-0.089836068,-0.019836068
2015/9/21,-0.313710982,-0.304880592,-0.212626118,-0.513092122,-0.240098957,-0.122626578,0.050581671,-0.002346255,0.224341541,-0.173411419,-0.163411419
2015/9/28,0.358282798,0.097652023,-0.103771313,0.977061558,0.261866687,1.063839679,-0.093249768,0.015056887,0.175878031,0.133464474,0.143464474
2015/10/5,0.397436238,-0.483715584,0.168401978,1.095326951,0.482187654,0.351261959,0.71999328,0.485746166,0.822408752,0.506635957,0.516635957
2015/10/12,0.437982604,0.132320309,0.786993477,0.388535643,-0.043449264,-0.077097174,0.228617743,-0.037308966,0.235181262,0.114148978,0.124148978
2015/10/19,1.115615494,4.930524294,0.812033763,-0.095173481,0.556564373,1.503241721,0.758957365,0.155398316,0.736732745,0.284823621,0.304823621
2015/10/26,0.156016474,-0.133599109,-0.047628529,1.505398677,-0.30818216,0.050278319,0.341371856,0.336400836,-0.424614034,0.006698756,0.026698756
2015/11/2,0.431494756,0.895425491,0.812873131,-0.490723928,0.420136557,0.275908451,-0.026681305,-0.734892695,0.019980993,0.05139251,0.13139251
2015/11/9,-0.399463415,-0.56094357,-0.461647801,-0.684977392,-0.728148613,-0.279763402,-0.081709187,-0.476879944,-0.461921451,-0.521472922,-0.381472922
2015/11/16,0.861468229,0.334590065,0.364015691,0.292437473,0.272744557,2.60610098,0.548594354,0.145635934,0.252077306,0.369150233,0.519150233
2015/11/23,-0.243622017,-0.121957,-0.344286367,-0.204729923,-0.315017024,-0.274776688,0.07741017,-0.424738172,-0.225763472,-0.134133813,0.005866187
2015/11/30,0.107967926,-0.102373955,-0.12616972,0.907852283,-0.118633733,0.503810812,-0.1479816,-0.153781118,-0.103164739,-0.210129107,0.009870893
2015/12/7,-0.672775111,-0.755316859,-0.687599572,-0.825576236,-0.650683275,-0.731467725,-0.735010688,-0.836662782,-0.709765104,-0.685025837,-0.395025837
2015/12/14,-0.252230674,-0.472764158,0.013983709,-0.244083193,-0.468923384,-0.579724303,-0.740070766,-0.669494055,-0.267772446,-0.303172333,-0.043172333
2015/12/21,-0.067821446,-0.141066118,-0.110382264,0.327984992,0.411096295,-0.018621021,-0.25266749,0.515915245,0.264908902,0.185446481,0.425446481
2015/12/28,-0.031850181,-0.311373044,-0.273656984,-0.509678588,-0.573839598,-0.290445957,-0.488691178,-0.33322374,-0.399617842,-0.332366146,-0.102366146
2016/1/4,-0.763394321,-0.790575749,-0.830903063,-0.877293823,-0.746168113,-0.985029837,-0.908191767,-0.637815747,-0.871009016,-0.770430857,-0.550430857
2016/1/11,-0.518899629,-0.431014331,-0.483197804,-0.687058453,-0.398802958,-0.695983525,-0.279075841,-0.133633505,-0.244384405,-0.458099019,-0.248099019
2016/1/19,0.497954862,0.54148073,0.232305222,0.04908151,0.540489548,-0.078241809,-0.201032788,-0.016030879,0.424733486,-0.059892441,0.200107559
2016/1/25,0.058151325,-1.097675192,4.550421433,-0.409944869,0.063250301,-0.240451182,-1.111549586,-0.247012015,0.05825269,-0.057268917,0.252731083
2016/2/1,-1.011386503,-0.48487236,-0.97431665,-0.851801821,-0.535885614,-0.337895862,-0.70022189,-0.580191055,-0.595363122,-0.686132402,-0.336132402
2016/2/8,-0.342023428,-0.652396086,-0.548877066,-0.675704224,-0.32,-0.072125224,-0.127382516,-0.515241342,-0.249027188,-0.420592342,-0.100592342
2016/2/16,0.116125292,0.7989833,0.080182691,2.626558848,0.28127201,0.541099246,1.643509423,0.30716565,0.510797464,0.139545417,0.439545417
2016/2/22,-0.250034172,-0.108031664,0.176720405,0.426263454,-0.11888164,0.926002964,0.324597665,-0.376852601,-0.314697743,-0.104206985,0.225793015
2016/2/29,-0.217212448,-0.199034712,-0.271880577,1.36924089,0.39419916,0.29310964,-0.021338323,0.000158072,-0.246511465,0.077862526,0.407862526
2016/3/7,0.013883707,-0.508912133,-0.19051185,-0.339027532,-0.410527111,-0.441003788,-0.483657077,0.202998499,-0.045278113,-0.165686943,0.154313057
2016/3/14,-0.129061003,-0.467168674,-0.068549808,0.329756267,-0.209164951,-0.294900483,-0.277304431,-0.342068052,-0.115546885,-0.148872404,0.191127596
2016/3/21,-0.349786859,0.04353052,-0.10641512,-0.418716906,-0.523409626,-0.203839492,0.051407615,-0.293242837,-0.29374651,-0.393144435,-0.083144435
2016/3/28,0.001455409,-0.505489895,0.117199741,0.514914564,0.329984903,-0.231679914,0.710995141,0.337318634,-0.04476677,-0.027453757,0.262546243
2016/4/4,-0.401285269,-0.121480806,-0.693617696,-0.366649659,-0.154092291,-0.212456136,-0.227316811,-0.417482487,-0.219870972,-0.376910293,-0.146910293
2016/4/11,0.181300016,0.604411117,-0.340287707,-0.059278305,0.061925275,-0.37310074,0.129619903,-0.213622827,-0.255597536,0.002020447,0.232020447
2016/4/18,-0.727363801,-0.56929837,-0.10525126,0.186180435,-0.166706222,-0.228757795,0.189900414,0.047801438,-0.289750779,-0.150048645,0.069951355
2016/4/25,-0.627779677,-0.233897951,0.976182338,-0.515724168,-0.294404492,-0.53304462,-0.213720264,-0.132479066,-0.411931103,-0.40157674,-0.15157674
