company,,date,MP,ACP,Rm,Ri,Rf,ari,arm,amer,aser
1,Google,2015/5/4,2116.1,538.22,0.003704452,0.000594808,0.02,0.00776016,0.049242942,0.029242942,-0.01223984
1,Google,2015/5/11,2122.73,533.85,0.003133066,-0.008119348,0.02,-0.100559488,0.041504379,0.021504379,-0.120559488
1,Google,2015/5/18,2126.06,540.11,0.001568772,0.011726158,0.02,0.16364022,0.020587106,0.000587106,0.14364022
1,Google,2015/5/26,2107.39,532.11,-0.00878158,-0.014811798,0.02,-0.176336861,-0.108334975,-0.128334975,-0.196336861
1,Google,2015/6/1,2092.83,533.33,-0.006908933,0.002292819,0.02,0.030220162,-0.086185637,-0.106185637,0.010220162
1,Google,2015/6/8,2094.11,532.33,0.000611626,-0.001875012,0.02,-0.02410281,0.007980382,-0.012019618,-0.04410281
1,Google,2015/6/15,2109.99,536.69,0.007583118,0.00819038,0.02,0.111867764,0.10319293,0.08319293,0.091867764
1,Google,2015/6/22,2101.49,531.69,-0.004028455,-0.009316365,0.01,-0.114568727,-0.051122606,-0.061122606,-0.124568727
1,Google,2015/6/29,2076.78,523.4,-0.011758305,-0.015591751,0.02,-0.184773712,-0.142525422,-0.162525422,-0.204773712
1,Google,2015/7/6,2076.62,530.13,-0.000077,0.012858198,0.02,0.180680577,-0.001000538,-0.021000538,0.160680577
1,Google,2015/7/13,2126.64,672.93,0.024087109,0.269367866,0.02,21.21454895,0.362635477,0.342635477,21.19454895
1,Google,2015/7/20,2079.65,623.56,-0.022095885,-0.073365722,0.04,-0.62862839,-0.252086182,-0.292086182,-0.66862839
1,Google,2015/7/27,2103.84,625.61,0.011631855,0.003287554,0.05,0.043591473,0.16223099,0.11223099,-0.006408527
1,Google,2015/8/3,2077.57,635.3,-0.0124867,0.015488888,0.08,0.221173247,-0.150705336,-0.230705336,0.141173247
1,Google,2015/8/10,2091.54,657.12,0.006724188,0.03434599,0.12,0.551157354,0.091029624,-0.028970376,0.431157354
1,Google,2015/8/17,1970.89,612.48,-0.057684779,-0.067932821,0.1,-0.599305114,-0.538097108,-0.638097108,-0.699305114
1,Google,2015/8/24,1988.87,630.38,0.009122772,0.029225486,0.06,0.454242771,0.125309762,0.065309762,0.394242771
1,Google,2015/8/31,1921.22,600.7,-0.034014302,-0.047082701,0.08,-0.465782951,-0.362296128,-0.442296128,-0.545782951
1,Google,2015/9/8,1961.05,625.77,0.020731659,0.041734655,0.06,0.701541144,0.305721652,0.245721652,0.641541144
1,Google,2015/9/14,1958.03,629.25,-0.001540001,0.005561117,0.07,0.074756629,-0.019836068,-0.089836068,0.004756629
1,Google,2015/9/21,1931.34,611.97,-0.01363108,-0.027461309,0.01,-0.303710982,-0.163411419,-0.173411419,-0.313710982
1,Google,2015/9/28,1951.36,626.91,0.01036587,0.024412966,0.01,0.368282798,0.143464474,0.133464474,0.358282798
1,Google,2015/10/5,2014.89,643.61,0.032556797,0.026638613,0.01,0.407436238,0.516635957,0.506635957,0.397436238
1,Google,2015/10/12,2033.11,662.2,0.009042662,0.028883994,0.01,0.447982604,0.124148978,0.114148978,0.437982604
1,Google,2015/10/19,2075.15,702,0.02067764,0.060102669,0.02,1.135615494,0.304823621,0.284823621,1.115615494
1,Google,2015/10/26,2079.36,710.81,0.002028868,0.012549855,0.02,0.176016474,0.026698756,0.006698756,0.156016474
1,Google,2015/11/2,2099.2,733.76,0.009541322,0.032287126,0.08,0.511494756,0.13139251,0.05139251,0.431494756
1,Google,2015/11/9,2023.04,717,-0.036280447,-0.022841269,0.14,-0.259463415,-0.381472922,-0.521472922,-0.399463415
1,Google,2015/11/16,2089.17,756.6,0.032688371,0.055230092,0.15,1.011468229,0.519150233,0.369150233,0.861468229
